k,n,npq,a1,a2,a3,a4,a5,a6,a7,a8,a9plus
23.0000,114,2375,953,391,226,130,107,89,46,47,386
23.9000,114,2443,1014,387,231,149,94,67,48,41,412
22.4000,115,2398,953,434,243,112,108,68,57,50,373
23.0000,115,2471,999,444,257,140,87,69,61,35,379
23.9000,115,2459,1016,398,225,142,95,87,67,45,384
22.4000,116,2344,931,392,221,141,103,80,74,42,360
23.0000,116,2409,997,419,231,136,94,75,46,48,363
23.9000,116,2577,1083,430,273,155,89,65,59,49,374
22.4000,117,2453,1027,427,228,140,98,59,65,35,374
23.0000,117,2480,1039,428,221,139,108,63,58,44,380
23.9000,117,2511,1042,444,243,119,101,74,64,38,386
22.4000,118,2428,959,419,239,166,97,81,52,45,370
23.0000,118,2545,1097,416,230,148,82,75,75,51,371
23.9000,118,2585,1086,458,230,146,96,57,54,51,407
22.4000,119,2473,1015,441,258,133,82,69,61,35,379
23.0000,119,2568,1079,428,230,158,119,74,60,41,379
23.9000,119,2540,1040,437,227,143,102,81,64,53,393
22.4000,120,2465,989,389,249,161,99,84,61,47,386
23.0000,120,2622,1110,441,235,164,106,79,55,45,387
23.9000,120,2601,1063,459,266,148,94,64,62,56,389
