k,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,logq,jhi,mrg,ok,cflen,cfmax,cfidx,cfkind,cfpq,logh11,h22,logsinth,pqnext,cvkind,cvidx,cvt
23.0000,39,27.457783,-0.502608,-0.521615,-0.483529,4.416532,1,-0.513330,1.381424,1.000000,14.416298,2,1.733 e-3,1,782,1308,424,0,0,27.315599,256,-0.002768,9,0,424,0
23.9000,39,28.079838,-0.813635,-0.813861,-0.812674,1.047378,1,-0.805055,1.409762,1.000000,14.121454,3,4.390 e-3,1,850,256,440,0,0,27.937654,256,-0.028661,1,0,440,0
22.4000,40,26.880585,-0.375062,-0.385520,-0.364298,2.337041,0,-0.362073,2.554539,2.337041,14.578383,3,3.123 e-4,1,835,3201,435,0,0,26.724627,512,-0.012261,9,0,436,0
23.0000,40,27.296473,-0.583007,-0.590508,-0.575416,1.828832,1,-0.588645,1.077327,1.000000,14.352212,2,1.568 e-3,1,857,637,448,0,0,27.140515,512,-0.003600,22,0,448,0
23.9000,40,27.920306,-0.894923,-0.894658,-0.893514,1.046824,1,-0.888539,1.277329,1.000000,14.020815,3,1.859 e-3,1,845,538,438,0,0,27.764348,512,-0.066955,2,0,438,0
22.4000,41,27.003207,-0.306731,-0.323282,-0.290031,3.908983,1,-0.322235,1.043827,1.000000,14.619953,2,2.089 e-4,1,834,4785,422,0,0,26.740240,48128,-0.006107,86,0,422,0
23.0000,41,27.425857,-0.518056,-0.522284,-0.513794,1.416361,0,-0.501380,2.356266,1.690146,14.428811,3,3.061 e-3,1,883,2385,449,0,0,27.162891,48128,-0.001394,36,0,450,0
23.9000,41,28.034475,-0.822365,-0.821053,-0.820945,1.004471,0,-0.812526,1.418527,1.004471,14.115092,3,4.032 e-4,1,871,2479,445,0,0,27.771508,48128,-0.111971,1,0,444,0
22.4000,42,27.043560,-0.279853,-0.289244,-0.269903,2.253060,0,-0.264840,2.786911,2.253060,14.672971,3,9.351 e-5,1,887,10693,475,0,0,26.878525,1024,-0.023516,4,0,476,0
23.0000,42,27.472651,-0.494399,-0.494554,-0.492859,1.073809,1,-0.486799,1.385023,1.000000,14.434889,3,7.316 e-4,1,870,1366,416,0,0,27.307616,1024,-0.058178,1,0,416,0
