k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
23.0000,6324,1,1,70823,1,136273,0.519718,1,1,21,56,400594,27.93629,0.00164,2.37555,0.00685,0,0,3,1.199240,1.013974,1.013974,-0.227630,-0.227601,14.733900,6329,0.015447,0.047082,56640,23084,12637,8036,5543,4095,3100,2475,20662,1,1,1,1
23.9000,6324,1,1,72551,1,139300,0.520829,1,3,10,26,160135,28.56006,0.00164,2.37555,0.00685,0,1,3,2.558431,1.953477,1.953477,-0.539568,-0.539419,14.422079,638,0.037402,0.004849,57574,23717,13124,8179,5630,4158,3175,2500,21242,1,1,1,1
22.3500,6336,1,1,69979,1,134202,0.521449,2,3,11,108,1187052,27.49459,0.00164,2.38922,0.00517,0,0,3,1.377783,1.025029,1.025029,0.002124,0.002174,14.963512,10470,-0.000145,0.076546,55796,22758,12614,7817,5431,4024,3051,2459,20251,1,1,1,1
22.4000,6336,1,1,70004,0,133867,0.522941,1,14,14,93,1683514,27.52927,0.00164,2.38922,0.00517,1,1,2,1.086568,1.000000,1.424191,-0.015239,-0.015226,14.946270,10147,0.001019,0.074270,55334,22779,12591,7964,5418,4068,2959,2402,20351,1,1,1,1
23.0000,6336,1,1,71191,1,136745,0.520615,4,12,12,19,415178,27.94520,0.00164,2.38922,0.00517,0,1,3,6.424221,5.486736,5.486736,-0.223316,-0.223022,14.737948,6347,0.015133,0.047113,56925,23334,12711,7916,5526,4070,3097,2466,20699,1,1,1,1
23.9000,6336,1,1,72619,1,139745,0.519657,2,2,21,224,5992612,28.56899,0.00164,2.38922,0.00517,0,0,3,1.442668,1.125478,1.125478,-0.535085,-0.535027,14.426274,643,0.037087,0.004876,57858,23835,12932,8251,5639,4229,3246,2556,21198,1,1,1,1
22.3500,6348,1,1,69916,0,134392,0.520243,10,4,14,65,358256,27.48824,0.00224,2.39240,0.00480,1,1,2,1.406293,1.000000,2.297687,-0.000792,-0.000738,14.960645,10480,0.000049,0.076489,55820,22829,12571,7985,5366,3978,2897,2399,20546,1,1,1,1
22.4000,6348,1,1,70129,1,134470,0.521525,6,2,71,279,148129,27.52296,0.00224,2.39240,0.00480,0,1,3,1.302422,1.090580,1.090580,-0.018092,-0.018050,14.943454,10162,0.001208,0.074253,55716,22961,12671,7666,5505,4027,3075,2394,20454,1,1,1,1
23.0000,6348,1,1,71405,1,136883,0.521654,2,3,36,192,289274,27.93887,0.00224,2.39240,0.00480,0,1,3,1.538099,1.321920,1.321920,-0.226063,-0.225995,14.735488,6354,0.015337,0.047084,56746,23473,12701,8112,5646,4029,3021,2447,20707,1,1,1,1
23.9000,6348,1,1,72814,0,139546,0.521796,2,13,43,43,123902,28.56268,0.00224,2.39240,0.00480,1,0,2,1.104527,1.000000,1.485786,-0.537979,-0.537963,14.423530,641,0.037298,0.004853,57757,23550,12871,8326,5760,4107,3255,2566,21353,1,1,1,1
