k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.4000,2096,1,1,23240,0,44485,0.522435,1,2,7,51,48522,27.49054,0.01250,2.34906,0.02039,1,1,2,1.344827,1.000000,1.377165,-0.030122,-0.029980,14.930770,3363,0.002008,0.074487,18517,7521,4159,2636,1819,1280,1025,813,6714,1,1,1,1
23.0000,2096,1,1,23467,1,44933,0.522278,1,14,14,40,81032,27.90656,0.01250,2.34906,0.02039,0,1,3,2.703869,2.058624,2.032594,-0.238220,-0.237746,14.722949,2103,0.016148,0.047237,18595,7617,4182,2658,1833,1350,995,788,6914,1,1,1,1
23.9000,2096,1,1,24028,0,46392,0.517945,1,9,9,85,324230,28.53026,0.01250,2.34906,0.02039,1,1,2,1.397403,1.000000,5.127692,-0.550297,-0.550137,14.410869,218,0.038175,0.005003,19412,7791,4294,2766,1897,1375,1042,796,7018,1,1,1,1
22.3500,2097,1,1,23320,0,44538,0.523610,3,12,12,146,1844290,27.46356,0.00999,2.36357,0.01832,1,1,2,1.114388,1.000000,1.636207,-0.010060,-0.010009,14.950204,3469,0.000669,0.076698,18613,7570,4116,2570,1768,1312,1017,793,6778,1,1,1,1
22.4000,2097,1,1,23124,0,44497,0.519687,1,2,82,164,480319,27.49827,0.00999,2.36357,0.01832,1,1,3,1.074130,1.000000,1.062746,-0.027310,-0.027275,14.933988,3359,0.001826,0.074347,18470,7622,4179,2617,1762,1285,1057,793,6711,1,1,1,1
23.0000,2097,1,1,23581,1,45215,0.521542,1,4,20,145,327639,27.91442,0.00999,2.36357,0.01832,0,1,3,2.511908,2.130581,2.130581,-0.235558,-0.235119,14.726075,2103,0.015966,0.047204,18860,7664,4147,2612,1823,1352,1067,798,6891,1,1,1,1
23.9000,2097,1,1,24133,1,46296,0.521287,6,396,396,3522,43058,28.53815,0.00999,2.36357,0.01832,0,1,3,48.119709,47.170181,47.170181,-0.548167,-0.546320,14.414942,215,0.037900,0.004930,19236,7840,4391,2730,1818,1373,1016,791,7100,1,1,1,1
22.3500,2098,1,1,23038,0,44130,0.522060,2,7,44,44,239051,27.47036,0.00690,2.36004,0.01810,1,0,3,1.130054,1.000000,1.122609,-0.008327,-0.008269,14.952937,3465,0.000553,0.076559,18086,7540,4061,2629,1848,1322,1064,801,6778,1,1,1,1
22.4000,2098,1,1,23308,0,44550,0.523199,1,5,102,102,47155,27.50505,0.00690,2.36004,0.01810,1,0,2,1.284190,1.000000,1.995645,-0.025818,-0.025698,14.935421,3360,0.001721,0.074326,18522,7614,4119,2567,1872,1247,1083,809,6716,1,1,1,1
23.0000,2098,1,1,23635,1,45376,0.520882,2,2,654,654,235625,27.92101,0.00690,2.36004,0.01810,0,1,3,1.608786,1.228105,1.228105,-0.233672,-0.233445,14.726978,2104,0.015852,0.047201,19008,7657,4205,2698,1834,1334,1044,868,6727,1,1,1,1
