k,n,h11ok,h22ok,okY,okX,lcmok,logh11,logh22,logmY,logmX,v2h11,logoddh11,logmZ,v2mZ,logg0,v2gMODY,logh12
23.9,69,1,1,1,1,1,27.91450,0.22169,27.91450,16.33416,1627,11.57029,2.50530,0,0.30840,38,27.89644
22.4,70,1,1,1,1,1,27.03537,0.08912,27.03537,15.33836,1550,11.68711,2.43680,0,0.28419,34,27.02958
23.0,70,1,1,1,1,1,27.45125,0.08912,27.45125,15.75425,1592,11.68711,2.43680,0,0.28419,34,27.44933
23.9,70,1,1,1,1,1,28.07509,0.08912,28.07509,16.37808,1655,11.68711,2.43680,0,0.28419,34,28.06192
22.4,71,1,1,1,1,1,27.02005,0.08786,27.02005,15.31758,1570,11.69271,2.49929,0,0.29972,36,27.01482
23.0,71,1,1,1,1,1,27.43985,0.08786,27.43985,15.73737,1613,11.69271,2.49929,0,0.29972,36,27.43277
23.9,71,1,1,1,1,1,28.05489,0.08786,28.05489,16.35242,1676,11.69271,2.49929,0,0.29972,36,28.04021
22.4,72,1,1,1,1,1,27.01102,0.12957,27.01102,15.33588,1594,11.66551,2.68009,0,0.26667,34,26.95413
23.0,72,1,1,1,1,1,27.43461,0.12957,27.43461,15.75947,1638,11.66551,2.68009,0,0.26667,34,27.42661
23.9,72,1,1,1,1,1,28.05074,0.12957,28.05074,16.37560,1702,11.66551,2.68009,0,0.26667,34,28.03701
22.4,73,1,1,1,1,1,26.98774,0.13729,26.98774,15.30621,1613,11.67203,2.62465,0,0.29151,38,26.97066
23.0,73,1,1,1,1,1,27.40553,0.13729,27.40553,15.72400,1657,11.67203,2.62465,0,0.29151,38,27.40229
23.9,73,1,1,1,1,1,28.02271,0.13729,28.02271,16.34118,1722,11.67203,2.62465,0,0.29151,38,28.00022
22.4,74,1,1,1,1,1,27.15825,0.10304,27.15825,15.30544,1635,11.84344,2.86905,0,0.31997,38,27.15571
23.0,74,1,1,1,1,1,27.57976,0.10304,27.57976,15.72695,1680,11.84344,2.86905,0,0.31997,38,27.57329
