xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
23.9,62,1504,1744,860,1533,1497,14.04750,-0.85532,7,0.00557,0.06089,0.06646,1
22.4,63,1526,1770,872,1557,1427,14.62269,-0.31510,100,0.07524,0.02155,0.09679,1
23.0,63,1526,1770,872,1557,1465,14.40033,-0.52783,61,0.04661,0.03665,0.08326,1
23.9,63,1526,1770,872,1557,1521,14.10046,-0.80380,7,0.00546,0.05701,0.06247,0
22.4,64,1558,1807,895,1580,1449,14.76169,-0.17871,109,0.07997,0.01211,0.09208,0
23.0,64,1558,1807,895,1580,1488,14.54668,-0.39480,70,0.05212,0.02714,0.07926,1
23.9,64,1558,1807,895,1580,1545,14.22884,-0.70513,13,0.00990,0.04956,0.05945,1
22.4,65,1578,1832,906,1603,1472,14.76420,-0.15774,106,0.07656,0.01068,0.08724,1
23.0,65,1578,1832,906,1603,1511,14.56655,-0.37674,67,0.04905,0.02586,0.07491,1
23.9,65,1578,1832,906,1603,1569,14.25518,-0.67486,9,0.00673,0.04734,0.05407,1
22.4,66,1602,1860,920,1627,1494,14.66525,-0.26780,108,0.07734,0.01826,0.09560,1
23.0,66,1602,1860,920,1627,1534,14.46569,-0.47632,68,0.04937,0.03293,0.08230,1
23.9,66,1602,1860,920,1627,1593,14.17172,-0.77728,9,0.00667,0.05485,0.06152,0
22.4,67,1626,1887,933,1652,1516,14.73458,-0.21239,110,0.07723,0.01441,0.09165,0
23.0,67,1626,1887,933,1652,1557,14.48761,-0.42839,69,0.04927,0.02957,0.07884,1
23.9,67,1626,1887,933,1652,1617,14.21182,-0.73845,9,0.00655,0.05196,0.05851,1
22.4,68,1650,1916,948,1675,1539,14.64918,-0.24141,111,0.07724,0.01648,0.09372,0
23.0,68,1650,1916,948,1675,1580,14.45848,-0.47587,70,0.04935,0.03291,0.08226,1
23.9,68,1650,1916,948,1675,1641,14.12458,-0.78282,9,0.00650,0.05542,0.06192,0
22.4,69,1670,1941,959,1698,1561,14.66947,-0.25678,109,0.07464,0.01750,0.09215,1
23.0,69,1670,1941,959,1698,1603,14.50918,-0.44122,67,0.04639,0.03041,0.07680,0
23.9,69,1670,1941,959,1698,1665,14.13646,-0.75804,5,0.00355,0.05362,0.05718,0
22.4,70,1698,1971,975,1724,1584,14.71126,-0.23801,121,0.08144,0.01618,0.09762,1
23.0,70,1698,1971,975,1724,1626,14.49135,-0.44527,72,0.04920,0.03073,0.07993,1
23.9,70,1698,1971,975,1724,1689,14.17414,-0.76233,9,0.00629,0.05378,0.06007,1
22.4,71,1720,1997,987,1748,1606,14.68978,-0.24346,114,0.07576,0.01657,0.09234,1
23.0,71,1720,1997,987,1748,1649,14.44891,-0.45797,71,0.04797,0.03170,0.07967,1
23.9,71,1720,1997,987,1748,1712,14.17422,-0.76445,8,0.00551,0.05393,0.05944,1
22.4,72,1746,2028,1004,1771,1628,14.71699,-0.22626,118,0.07719,0.01537,0.09256,1
23.0,72,1746,2028,1004,1771,1672,14.50894,-0.43440,75,0.04976,0.02994,0.07970,1
23.9,72,1746,2028,1004,1771,1736,14.19639,-0.73999,12,0.00814,0.05212,0.06026,0
22.4,73,1766,2053,1015,1794,1651,14.69665,-0.23794,115,0.07430,0.01619,0.09049,1
23.0,73,1766,2053,1015,1794,1695,14.49319,-0.43807,71,0.04652,0.03023,0.07674,0
